Feature ID	Taxon	Confidence
38475c4a4a1d8eb31ef6359210c9a0a7	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.99959633432787
d79b6e3455f17546d3e611ecb8c0e08b	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9994254294329838
5a9d19cf3825f9c495d85d8964195b8b	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9993544180557923
0d1ee2e5c06d988f7312e3bb5154ecf1	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9790590175470848
1301fa109de432714668c482b47c7e71	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9805296207231061
ce062c2448123447b94aa58c290bb50d	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9999998090998787
cde81e16c01c476cfc09c191f791fa3f	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Ostreobium quekettii;D_5__Ostreobium quekettii;D_6__Ostreobium quekettii	0.9999437612046673
b13036d0b2ce225cee8f0784cf8b6490	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__uncultured;D_5__mucus bacterium 66;D_6__mucus bacterium 66	0.8266339325444961
c48948f44d5d0d0f19249ed408defecd	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9999997429903864
ff2827d7eb3b9da49625852a2df9a6af	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9991427941154716
9089c26e2740b1e249e28ee3379d7088	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Ostreobium quekettii;D_5__Ostreobium quekettii;D_6__Ostreobium quekettii	0.999967186756225
5f09e5ab8ce7069859e44cce2f698e4c	D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia;D_3__Dadabacteriales;D_4__uncultured Desulfohalobiaceae bacterium;D_5__uncultured Desulfohalobiaceae bacterium;D_6__uncultured Desulfohalobiaceae bacterium	0.9999937679738125
2e631696acbef6282b2dac7bacbbe51e	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9996145229525294
274800d8a7ce202df776c94419c3eff6	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9774009714257146
9e288e544baee30eb74196bf8b325353	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__uncultured;D_5__mucus bacterium 66;D_6__mucus bacterium 66	0.8397138651591983
